ubicacion,tipo,marca,modelo,serie,anum,precio_venta,modelo,voltaje,ah,capacidad,altura_max,futuras_reparaciones,precio_distribuidor,margen
TRANZVM,HOMBRE PARADO SENTADO,TOYOTA,6FBRE16,36412,2013,"$250,000.00",24-125-11,48V,625,1600,8.5 METROS,LISTO PARA VENTA," $ 195,000.00 ",22%
TRANZVM,HOMBRE PARADO SENTADO,TOYOTA,6FBRE16,36413,2013,"$250,000.00",24-125-11,48V,625,1600,8.5 METROS,LISTO PARA VENTA," $ 195,000.00 ",22%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE SENTADO,TOYOTA,CBT6,12224,2013,"$110,000.00",24-85-9,48V,340,4410 N,N/A,FALTA BATERIA Y LUCES TRACERAS," $ 85,000.00 ",23%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE SENTADO,TOYOTA,CBT6,12225,2013,"$110,000.00",24-85-9,48V,340,4410 N,N/A,"FALTA RELIZAR MANTENIMIENTO PREVENTIVO, SERVICIO DE PINTURA, BATERÍA, BOMBA DE FRENOS, Y REPARACION DE LUCES"," $ 85,000.00 ",23%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE SENTADO,TOYOTA,CBT6,12339,2013,"$110,000.00",24-85-9,48V,340,4410 N,N/A,"FALTA RELIZAR MANTENIMIENTO PREVENTIVO, SERVICIO DE PINTURA, BATERÍA, BOMBA DE FRENOS, Y REPARACION DE LUCES"," $ 85,000.00 ",23%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE PARADO,RAYMOND,8610,11849,2015,"$130,000.00",12-125-13,24V,750,3115 N,N/A,"FALTA MANTENIMIENTO PREVENTIVO, BATERIA Y PINTURA"," $ 95,000.00 ",27%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE PARADO,RAYMOND,8610,11852,2015,"$130,000.00",12-125-13,24V,750,3115 N,N/A,"FALTA MANTENIMIENTO PREVENTIVO, BATERIA Y PINTURA"," $ 95,000.00 ",27%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE PARADO,RAYMOND,8610,11939,2015,"$130,000.00",12-125-13,24V,750,3115 N,N/A,"FALTA MANTENIMIENTO PREVENTIVO, BATERIA Y PINTURA"," $ 95,000.00 ",27%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE PARADO,RAYMOND,8610,11940,2016,"$130,000.00",12-125-13,24V,750,3115 N,N/A,"FALTA MANTENIMIENTO PREVENTIVO, BATERIA Y PINTURA"," $ 95,000.00 ",27%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE PARADO,RAYMOND,8610,11941,2016,"$130,000.00",12-125-13,24V,750,3115 N,N/A,"FALTA MANTENIMIENTO PREVENTIVO, BATERIA Y PINTURA"," $ 95,000.00 ",27%
TRANZVM,BARREDORA,POWERBOSS,TSS90KLPG,2032004,N/D,"$150,000.00",GASOLINA,N/A,N/A,N,N/A,FALTA LEVANTAMIENTO DE REPARACION," $ 95,000.00 ",37%
FOLI,HOMBRE PARADO SENTADO,TOYOTA,6FBRE16,34453,2008,"$230,000.00",24-125-11,48V,625,1600,8.5 METROS,LISTO PARA VENTA," $ 170,000.00 ",26%
TRANZVM,CONTRABALANCEADO,HYSTER,E50X,F108V2785____,N/D,"$223,000.00",18-85-23,36v,935,2500 KILOS,5.85 METROS,"REPARACION DE SISTEMA DE FRENO DE ESTACIONARIO, BATERIA "," $ 160,000.00 ",28%
TRANZVM,TRACTOR DE ARRASTRE HOMBRE PARADO,TOYOTA,8TB50,41992,ND,"$130,000.00",12-125-13,24V,750,3158 N,N/A,"FALTA MANTENIMIENTO PREVENTIVO, BATERIA Y PINTURA"," $ 95,000.00 ",27%
4 MASTILES,,,,,$15000 X 4 MASTIELES ,"$60,000.00",,,,,,,"$32,000.00",47%
28 CARGADORES ,28 DIVERSOS CARGADORES,ENERSYS,VARIOS,VARIOS,$14000 X 28 CARGADORES,"$392,000.00",,,,,,," $ 207,200.00 ",47%
