clave_articulo,descripcion,inventarios,tipo_documentos,linea,serie,unidad,unidad_empaque,cantidad_almacen,rack,control_almacen,concepto,tipo_documento,documento,clave_cliente_proveedor,clave_vendedor,cantidad,precio,costo,tiempo_surtido,stock_min,stock_max,tipo_costeo,fecha_ultima_compra,pendiente_recibir,fecha_ultima_venta,pendientes_surtir,existencias,costo_promedio,ultimo_costo,tipo_elemento,unidad_salida,factor_entre_unidades,apartados,lote,pedimento,peso,volumen,clave_esuqema,cantidad_ventas_anuales,monto_ventas_anuales,cantidad_compras_anuales,monto_compras_anuales,cuenta_contable,estatus,manejo_ieps,tax_num,cuota_ieps,forma_ieps,clave_sat,clave_unidad,catalogo,id_catalogo,titulo_ml,color,medidas,volts,a,w,marca
7500025,PLASTER MATE INTERIOR-EXTERIOR,1,M,CON,N,LT,,7,1B,7-1B,,,,DPK131219,,,,,7,2,10,,,,,,,,,P,LT,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
55990051,BODY FILLER MASILLA LIGERA,1,M,CON,N,LT,,7,1B,7-1B,,,,DPK131219,,,,,1,0,4,,,,,,,,,P,LT,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,COMEX
 9600-600-4 ,MONTACARGAS POT-2  9600-600-4,1,M,REF,N,PZ,,4,1A,4-1A,,,,AEL920315,,,,,7,0,2,,,,,,,1740,1740,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
 ABT-739,DISCOS DE 14 TRUPER,1,M,CON,N,PZ,,1,19C,1-19C,,,,NMQ050902,,,,,7,1,20,,2021/7/16,,,,,88,88,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,TRUPER
000053,GARRUCHA AMERICAN POWER 2TON,1,M,HTA,S,PZ,,5,1A,5-1A,,,,GTR150812,,,,,7,0,5,,,,,,,770,770,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,AMERICAN POWER TOOLS
00010E,CONTACTOR 24V 10A 10E 3RH1122,1,M,ACO,N,PZ,,1,10C,1-10C,,,,DUAG60100,,,,,7,0,5,,,,,,,,,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,24,10,,SIEMENS
000222,LLAVE ALLEN TORX 17/64,1,M,HTA,N,PZ,,1,13CV,1-13CV,,,,TTC920120,,,,,7,1,10,,,,,,,45,45,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,URREA
000229,REMACHADORA AMERICAN 2 VIA ,1,M,HTA,N,PZ,,1,13CV,1-13CV,,,,TTC920120,,,,,7,0,3,,,,,,,84,84,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,URREA
00022B,RESPIRADOR 22B WILLSON,1,M,ESS,N,PZ,,2,1PA,2-1PA,,,,GTR150812,,,,,7,0,5,,2021/7/9,,,,,81.89,81.89,P,PZ,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,GENERICA
000259,AFINACION FLEX 4 PZ BUJIAS,1,M,HTA,N,JG,,5,1A,5-1A,,,,NMQ050902,,,,,7,0,2,,,,,,,101,101,P,JG,1,,N,N,,,1,,,,,,A,,,,,,,,,,,,,,,PIT BULL TOOLS
